peak2peak,peak,mean,Std,RMS,skewness,kurtosis,CrestFactor,ShapeFactor,faultType
0.93731,0.44873,0.019869976,0.137185343,0.138583711,-0.095481182,0.134103401,3.237970742,6.974528243,Ball_007_1
0.79649,0.41994,0.019741841,0.128774023,0.130247426,-0.079322544,-0.078488946,3.22417119,6.597532055,Ball_007_1
0.86221,0.49254,0.019350173,0.13623121,0.137565657,0.074691416,-0.036524413,3.580399439,7.109272639,Ball_007_1
0.87931,0.4504,0.017970304,0.136271008,0.137417802,-0.076415168,-0.281602744,3.277595727,7.646938227,Ball_007_1
0.81318,0.40179,0.018460577,0.125567736,0.126887157,-0.049034454,0.041341444,3.166514334,6.873412093,Ball_007_1
0.8451,0.44581,0.02064856,0.135161662,0.136697175,-0.066915382,-0.076327664,3.261296354,6.620179533,Ball_007_1
0.88516,0.43288,0.019069623,0.138270487,0.139545845,-0.041621558,-0.090317137,3.102062982,7.317703585,Ball_007_1
0.77188,0.402,0.019624537,0.136608788,0.137978155,-0.049686793,-0.284962737,2.913504686,7.030899852,Ball_007_1
0.80004,0.44122,0.019731446,0.130813359,0.132261518,-0.000319418,-0.12114121,3.335966541,6.703082963,Ball_007_1
0.896,0.49421,0.020741997,0.132697857,0.134277152,0.104436436,0.411884457,3.6805219,6.473684789,Ball_007_1
0.79649,0.41222,0.019352638,0.138796606,0.140105731,0.005705049,-0.423622708,2.942206548,7.239619175,Ball_007_1
1.05455,0.52467,0.018596892,0.136389353,0.137618374,0.01985577,0.248097117,3.812499629,7.400073865,Ball_007_1
1.01325,0.52196,0.017485897,0.140520723,0.141570437,0.090498976,0.097540018,3.686927946,8.096264132,Ball_007_1
0.84844,0.4504,0.018243336,0.124974094,0.126268433,0.027730234,0.282408036,3.56700396,6.921345521,Ball_007_1
0.89037,0.55095,0.018682832,0.124581205,0.12594422,-0.00671873,0.084123794,4.374555669,6.741173777,Ball_007_1
0.91103,0.45541,0.017615299,0.139932905,0.141003388,0.064865537,-0.106935059,3.229780544,8.004597991,Ball_007_1
0.89183,0.44226,0.018135787,0.145507417,0.146598012,0.021279409,0.14794328,3.016821268,8.083355409,Ball_007_1
0.72974,0.36153,0.01954564,0.141161922,0.142474526,-0.032890756,-0.394643172,2.537506255,7.289325027,Ball_007_1
0.88224,0.4963,0.01868837,0.138284317,0.139507958,0.009813348,-0.053316084,3.557503154,7.464961384,Ball_007_1
0.97904,0.53844,0.017157352,0.141424114,0.142426784,0.002085065,0.03158403,3.780468703,8.301210152,Ball_007_1
0.80045,0.43788,0.018614164,0.131600646,0.132878744,0.039454692,-0.083224648,3.295335178,7.138582521,Ball_007_1
1.12006,0.63899,0.019230838,0.160017333,0.161129976,0.091303247,0.372991486,3.965680474,8.378728701,Ball_007_1
0.71138,0.36153,0.019468962,0.134654375,0.136022013,-0.008614126,-0.475866701,2.657878626,6.986608198,Ball_007_1
0.91102,0.5086,0.01811294,0.145434994,0.146523337,0.067989836,-0.173590849,3.471119415,8.08942887,Ball_007_1
0.7093,0.37259,0.020169145,0.121753564,0.123383493,0.016644238,-0.410711706,3.019771854,6.117438051,Ball_007_1
1.06415,0.53614,0.018856333,0.148949341,0.15010208,0.122885442,0.393698183,3.571835904,7.960300854,Ball_007_1
0.97444,0.55679,0.018179516,0.139685233,0.140829442,0.026999,0.120885325,3.953647694,7.746600222,Ball_007_1
0.82758,0.44748,0.018498264,0.140117837,0.141299708,0.005486227,-0.209621044,3.166885517,7.638538944,Ball_007_1
0.8184,0.41264,0.017983753,0.135043987,0.136203484,-0.029608403,-0.200919999,3.029584768,7.573696369,Ball_007_1
0.75664,0.39261,0.019485463,0.138329819,0.139662016,-0.033374487,-0.504762048,2.81114373,7.167497945,Ball_007_1
0.76479,0.39345,0.020447264,0.128498204,0.130083883,-0.052077896,-0.292281371,3.024586841,6.361921264,Ball_007_1
0.75456,0.3874,0.019617483,0.133494403,0.134895885,-0.043068636,-0.285945298,2.87184447,6.876309527,Ball_007_1
0.79336,0.44247,0.019903488,0.130369136,0.131848252,0.042398529,-0.199673676,3.355903427,6.624379299,Ball_007_1
0.87389,0.47356,0.019291129,0.147724538,0.148943047,0.073806452,0.077715063,3.179470336,7.720805093,Ball_007_1
0.77939,0.39491,0.02030734,0.144567466,0.145951825,0.022967427,-0.325292265,2.705755818,7.187146448,Ball_007_1
0.87994,0.50235,0.019676005,0.140242789,0.141582419,0.148570064,0.14151752,3.548110012,7.19568945,Ball_007_1
0.80985,0.45979,0.019576237,0.143048547,0.144347235,0.119850373,-0.463845354,3.185305207,7.373594598,Ball_007_1
1.01261,0.55533,0.018361924,0.135516318,0.136721855,0.069940703,0.539323547,4.061750045,7.445943767,Ball_007_1
0.96923,0.52655,0.0192936,0.138053636,0.139361916,-0.051870969,-0.102559305,3.778291924,7.22321982,Ball_007_1
0.77126,0.43768,0.018939801,0.118369023,0.119846153,0.047199833,0.081950819,3.652015443,6.327740786,Ball_007_1
0.72849,0.39199,0.018935461,0.124172234,0.125577731,0.096721766,-0.175530073,3.121492927,6.63188138,Ball_007_1
0.87243,0.4527,0.019751039,0.138179933,0.139550974,0.025908249,0.004810907,3.243975918,7.065500484,Ball_007_1
0.87368,0.46646,0.017776949,0.142245343,0.143317402,-0.054334583,-0.094832926,3.254733851,8.06197961,Ball_007_1
0.83217,0.45478,0.018694736,0.136797641,0.138036047,-0.092796256,-0.252658729,3.294646654,7.383685364,Ball_007_1
0.72181,0.39157,0.01902516,0.117176824,0.118683025,0.158511273,0.094997914,3.299292377,6.238214283,Ball_007_1
0.78689,0.40763,0.019581906,0.133238064,0.134637159,0.004555957,-0.049313456,3.027618837,6.875590117,Ball_007_1
0.91311,0.46959,0.017996552,0.139225243,0.140349846,-0.050358807,0.199361623,3.345853325,7.798707417,Ball_007_1
0.96985,0.52905,0.018347377,0.141655497,0.14280444,0.105538122,0.054435084,3.704716731,7.783370805,Ball_007_1
0.81131,0.40451,0.016382073,0.13293882,0.133912183,-0.084754055,-0.248435031,3.02071096,8.174312679,Ball_007_1
0.87493,0.44539,0.015569596,0.147781361,0.148563385,-0.051982789,-0.127963809,2.997979618,9.541890611,Ball_007_1
0.80233,0.41556,0.016680967,0.133651817,0.13465638,-0.023768863,-0.176021307,3.086077315,8.07245654,Ball_007_1
0.80087,0.45791,0.014730238,0.12094834,0.121812717,0.110816201,0.172248106,3.759131308,8.269569077,Ball_007_1
0.71284,0.37384,0.015745297,0.130999056,0.13191015,0.109241485,-0.402504557,2.834050292,8.377749295,Ball_007_1
0.81839,0.41973,0.016423956,0.137485194,0.138429388,0.067737062,0.01968939,3.032087378,8.428504576,Ball_007_1
0.8791,0.45791,0.017185914,0.153961116,0.154879975,-0.019219902,-0.346001018,2.956547475,9.012030187,Ball_007_1
0.84615,0.47794,0.018029562,0.135319776,0.136482841,0.06225984,-0.19449464,3.501832157,7.569947766,Ball_007_1
0.77501,0.41723,0.018758586,0.135286615,0.136548219,0.079125705,-0.284867554,3.055550656,7.279238207,Ball_007_1
0.90038,0.45603,0.017575697,0.13355179,0.134670994,-0.021308666,0.195321199,3.386252568,7.662341722,Ball_007_1
0.80255,0.41056,0.017862935,0.117427938,0.118750461,0.058174864,0.370585169,3.45733394,6.647869587,Ball_007_1
0.91082,0.52029,0.015840664,0.141031227,0.141883832,0.136601299,-0.063182972,3.667014002,8.956937303,Ball_007_1
0.75435,0.38406,0.016904084,0.134259475,0.135286929,0.063265057,-0.355088045,2.838855183,8.003209723,Ball_007_1
0.85804,0.46459,0.019605376,0.14137088,0.142689655,-0.07734077,0.123580727,3.25594731,7.278088157,Ball_007_1
0.86409,0.44644,0.019582409,0.123433432,0.124947363,-0.039475816,0.110408886,3.57302458,6.380592076,Ball_007_1
0.85971,0.4842,0.021316679,0.125068625,0.126842122,0.156905451,-0.102310722,3.817343888,5.950369651,Ball_007_1
0.73412,0.39992,0.019999687,0.127678453,0.129204547,0.138558541,-0.346064005,3.095247105,6.460328527,Ball_007_1
1.0097,0.60165,0.019576153,0.147777219,0.149032443,0.058280514,-0.055750152,4.037040447,7.61295863,Ball_007_1
0.95046,0.47982,0.018515209,0.15435326,0.155422355,-0.063434271,-0.05734274,3.087200674,8.394307439,Ball_007_1
0.83717,0.45749,0.017363039,0.135868865,0.136940899,-0.026930272,0.03248358,3.34078426,7.886920105,Ball_007_1
0.82549,0.44852,0.017026612,0.143918893,0.14488768,-0.044821553,0.017117445,3.09563933,8.50948384,Ball_007_1
0.93126,0.48128,0.016108871,0.13435484,0.135284532,-0.052039763,0.266677489,3.557539,8.39813876,Ball_007_1
0.8474,0.4406,0.016474432,0.125870982,0.126914046,0.010205433,0.342908457,3.471640966,7.703697626,Ball_007_1
0.84886,0.44185,0.018087394,0.146313883,0.147392175,-0.017113214,-0.379731499,2.997784652,8.148889616,Ball_007_1
0.74914,0.41494,0.01910382,0.12746618,0.12885903,0.015825603,-0.194567272,3.220108063,6.745197009,Ball_007_1
0.92103,0.4965,0.016722035,0.139543018,0.140507553,0.068902341,0.410710498,3.53361787,8.402539081,Ball_007_1
0.96818,0.42328,0.017695065,0.1342804,0.135408777,-0.159350639,0.142275776,3.125942134,7.652347049,Ball_007_1
0.85032,0.42182,0.01665886,0.133634581,0.134636545,-0.09737224,0.010320813,3.133027523,8.081978317,Ball_007_1
0.8476,0.42933,0.016448769,0.138786984,0.139724671,0.048952297,-0.425390277,3.072685707,8.494536705,Ball_007_1
0.9467,0.55617,0.01439497,0.134815768,0.13554937,0.066510261,0.21521064,4.103080661,9.416440199,Ball_007_1
1.01616,0.46521,0.013527094,0.152473144,0.153034932,-0.069030876,0.295991707,3.039894196,11.31321605,Ball_007_1
0.74247,0.35778,0.013631625,0.130882035,0.131558215,-0.053659887,-0.482628778,2.719556506,9.650956061,Ball_007_1
0.89183,0.50381,0.01417127,0.136342094,0.137043477,0.092189985,0.275689572,3.676278581,9.670514907,Ball_007_1
0.78627,0.39512,0.012814807,0.13501952,0.135593468,-0.142889613,-0.18900803,2.914004677,10.58099933,Ball_007_1
0.77834,0.373,0.014135563,0.124449102,0.125219131,-0.057816538,0.200608021,2.978778054,8.858446668,Ball_007_1
0.89496,0.44936,0.014103321,0.154235218,0.154841179,-0.006392117,-0.243330647,2.902070394,10.9790581,Ball_007_1
0.86826,0.42391,0.01517622,0.146239076,0.14698892,-0.077040903,-0.453546392,2.883958863,9.685476538,Ball_007_1
0.8645,0.49066,0.016184791,0.141907436,0.142792979,0.00364262,-0.28605939,3.436163341,8.82266415,Ball_007_1
0.83175,0.42891,0.017704491,0.130281583,0.131447526,-0.016329001,-0.14434023,3.262975059,7.424530174,Ball_007_1
0.82633,0.39345,0.018655387,0.135078323,0.136327794,-0.141607998,-0.020838054,2.886058582,7.307690499,Ball_007_1
0.84469,0.43601,0.017684202,0.133808487,0.134939615,0.125508734,0.089755227,3.231148991,7.630517526,Ball_007_1
0.92167,0.50381,0.016645833,0.144896549,0.14581441,0.045784996,-0.309916252,3.455145491,8.759814625,Ball_007_1
1.01888,0.46709,0.015767989,0.138783617,0.139642819,-0.054983922,0.456156931,3.344890931,8.856095788,Ball_007_1
0.90873,0.45624,0.018228908,0.13778736,0.138954596,-0.005578311,0.076657716,3.283374675,7.622760082,Ball_007_1
1.02159,0.54073,0.018185093,0.147279459,0.14836221,0.029626501,0.250748265,3.644661271,8.158452221,Ball_007_1
0.89392,0.47815,0.017344692,0.138799339,0.139845229,0.047813032,0.429599993,3.419137031,8.062710549,Ball_007_1
0.85574,0.43726,0.018141104,0.141566723,0.142690053,-0.078568062,-0.018702576,3.064404226,7.865566257,Ball_007_1
0.91708,0.44039,0.01836586,0.142560092,0.143703727,-0.105649252,0.109404246,3.0645691,7.824503102,Ball_007_1
0.9807,0.48962,0.017963028,0.152361476,0.153379773,-0.065240554,0.155256719,3.192207095,8.538637103,Ball_007_1
0.72494,0.38531,0.018665951,0.131569419,0.132855099,-0.006368919,-0.485812244,2.900227406,7.117510245,Ball_007_1
0.72995,0.37426,0.017794029,0.143993295,0.145053688,-0.074083136,-0.62614247,2.580148118,8.151818075,Ball_007_1
0.79566,0.3972,0.01941178,0.133053983,0.134430411,-0.06566674,-0.262471177,2.954688585,6.925197541,Ball_007_1
1.00595,0.50381,0.018324014,0.143252307,0.144384808,-0.076976392,0.329184099,3.489356022,7.879540245,Ball_007_1
0.82966,0.4383,0.01906065,0.131271198,0.132616069,0.037484172,0.107071184,3.305029353,6.957583661,Ball_007_1
0.82049,0.45666,0.01705702,0.135538574,0.136574804,0.053848092,-0.216405204,3.34366214,8.006955926,Ball_007_1
0.78252,0.43309,0.018721591,0.138782602,0.140006085,0.074831438,-0.292060214,3.093365547,7.478322098,Ball_007_1
1.00991,0.5787,0.0191878,0.161414377,0.162511695,0.033208786,-0.274433403,3.560974497,8.469532402,Ball_007_1
0.83801,0.45645,0.018795701,0.129977905,0.131298458,0.070205496,0.188651895,3.476430784,6.985557911,Ball_007_1
0.93251,0.45374,0.018550592,0.144957251,0.146104308,-0.024682837,0.176584126,3.105589458,7.875991592,Ball_007_1
0.89829,0.45749,0.018325366,0.142232838,0.143374061,-0.04333108,-0.027000398,3.190884021,7.823803486,Ball_007_1
0.95546,0.46146,0.020982485,0.162476031,0.163785944,-0.097950428,-0.287338641,2.817457883,7.805841193,Ball_007_1
0.78293,0.42954,0.018354433,0.132924889,0.134153956,-0.014710615,-0.237058059,3.201843708,7.309076404,Ball_007_1
0.95963,0.49776,0.01693299,0.143658566,0.144618231,-0.024323104,-0.228294869,3.441889707,8.540619877,Ball_007_1
0.82549,0.45603,0.017338448,0.138958601,0.14000245,0.093722605,-0.223658765,3.257300142,8.07468163,Ball_007_1
0.98696,0.51424,0.017736142,0.14672148,0.147754025,-0.069043554,-0.263963161,3.480378955,8.33067452,Ball_007_1
0.89913,0.44143,0.017194957,0.132243022,0.133324207,0.044026415,0.320802898,3.310951631,7.75368068,Ball_007_1
1.20079,0.6755,0.017597069,0.157732575,0.158672852,0.068021657,0.310712607,4.257186981,9.017004429,Ball_007_1
0.84093,0.50652,0.0175864,0.126946133,0.128127801,0.053120074,-0.038666334,3.953240395,7.285618405,Ball_007_1
1.01951,0.48545,0.019115041,0.14373286,0.144963556,0.01501277,0.140948984,3.348772712,7.583742796,Ball_007_1
0.87055,0.4746,0.018646689,0.133590713,0.134853489,0.057567596,0.225242057,3.519375011,7.232034124,Ball_007_1
1.00052,0.54824,0.018234144,0.141501818,0.142637554,0.063164674,0.265486235,3.843588056,7.822552867,Ball_007_1
0.7723,0.39679,0.017402055,0.126882357,0.12803946,-0.029542535,-0.112699863,3.098966534,7.357720609,Ball_007_1
0.80818,0.40993,0.017978005,0.146289761,0.147354855,-0.072513568,-0.366858664,2.781923944,8.196396352,Ball_007_1
0.91456,0.53864,0.020439281,0.13985025,0.141302183,0.097845449,0.034313484,3.81197225,6.913265859,Ball_007_1
0.80818,0.42537,0.021312717,0.133488796,0.135147289,-0.017585444,0.131785863,3.147454918,6.341157137,Ball_007_1
1.04203,0.52362,0.021073807,0.14177436,0.143297802,-0.00625917,0.433352492,3.654068613,6.799806054,Ball_007_1
1.08084,0.54574,0.021727054,0.157680199,0.159131926,-0.002371643,0.043240019,3.429481529,7.32413742,Ball_007_1
0.91832,0.48649,0.022501155,0.140358909,0.142117226,0.036014527,0.10154206,3.423159985,6.315997008,Ball_007_1
0.92458,0.46354,0.022211784,0.155743368,0.157281646,-0.017491808,-0.059869098,2.947197021,7.081000279,Ball_007_1
0.95776,0.47502,0.023010003,0.144149876,0.14594006,0.044102876,0.34723621,3.254897944,6.342461652,Ball_007_1
1.0677,0.59706,0.023575504,0.147447804,0.149285108,-0.021020479,0.371463405,3.99946121,6.332212723,Ball_007_1
0.90539,0.46292,0.020382059,0.135847306,0.137335021,0.080891392,0.033709673,3.370735275,6.738034838,Ball_007_1
0.94836,0.51006,0.01999125,0.132101319,0.13357353,0.127269326,0.216141449,3.818570953,6.681599647,Ball_007_1
0.63878,0.31271,0.021153053,0.115848218,0.117735756,-0.090139534,-0.304121732,2.656032559,5.565898989,Ball_007_1
0.85449,0.42599,0.020115691,0.151333916,0.152628348,-0.026906753,-0.160251751,2.791028043,7.587526991,Ball_007_1
0.77918,0.46021,0.019232821,0.126002091,0.127431064,0.119930331,-0.065098429,3.611442814,6.625708261,Ball_007_1
0.77084,0.40117,0.018677284,0.129737496,0.131043658,-0.044946564,-0.089367108,3.061346171,7.016205301,Ball_007_1
0.73162,0.34672,0.018634992,0.119835702,0.121247047,-0.0974505,-0.271390956,2.859616027,6.50641784,Ball_007_1
0.79419,0.41514,0.01887897,0.148006586,0.149169933,0.022111495,-0.394226287,2.783000517,7.901380937,Ball_007_1
0.90998,0.50235,0.016879721,0.139117094,0.140103679,0.110661579,0.132346867,3.585558946,8.300118015,Ball_007_1
1.09294,0.51904,0.018065959,0.149197529,0.150251164,-0.067040726,0.236782618,3.454482385,8.316810848,Ball_007_1
0.87807,0.46167,0.01663889,0.138734601,0.139695183,-0.025783278,-0.043933159,3.304838368,8.395703002,Ball_007_1
1.16115,0.63377,0.015685757,0.157892306,0.158631177,-0.018421593,0.404527114,3.995242365,10.11307099,Ball_007_1
0.92897,0.48691,0.01733105,0.147359882,0.148339803,0.064106223,-0.221161335,3.282396167,8.559193235,Ball_007_1
0.95045,0.48482,0.017846193,0.138459391,0.139571232,-0.019001346,0.066130283,3.473638463,7.82078447,Ball_007_1
0.81151,0.39032,0.018874581,0.127218032,0.128579839,-0.046892674,0.099696097,3.035623656,6.8123282,Ball_007_1
0.98967,0.50902,0.020118749,0.147112554,0.148446287,-0.048843353,0.173009281,3.42898439,7.37850467,Ball_007_1
0.93418,0.50673,0.019895453,0.14104853,0.142410683,0.045759805,-0.01370644,3.558230241,7.157951112,Ball_007_1
0.87473,0.46918,0.020608127,0.138517661,0.140008816,0.065990288,-0.186541361,3.351074701,6.793864264,Ball_007_1
0.79983,0.42537,0.020273064,0.136283169,0.137749883,-0.063511062,-0.140596968,3.087988098,6.794724348,Ball_007_1
1.00198,0.55179,0.018731368,0.162584697,0.163620722,0.042143763,-0.168396775,3.372372352,8.735118569,Ball_007_1
0.74434,0.38719,0.018903207,0.125157567,0.126546826,-0.027224146,-0.262162244,3.059657928,6.694463417,Ball_007_1
0.81757,0.43601,0.019273562,0.134024479,0.135370825,0.000569259,0.04347174,3.220856479,7.02365372,Ball_007_1
0.88474,0.44519,0.01978062,0.130157809,0.13162088,0.119066438,0.078189125,3.382366081,6.654032097,Ball_007_1
1.1697,0.62939,0.019727149,0.154456573,0.15567384,0.007544813,0.32822513,4.043004261,7.891350066,Ball_007_1
0.88432,0.46375,0.019352646,0.135218399,0.136563584,0.118142388,0.102195816,3.395854051,7.056584566,Ball_007_1
0.97737,0.50673,0.018331685,0.155627551,0.156665756,0.065294016,0.00161994,3.234465607,8.5461731,Ball_007_1
0.96067,0.51674,0.019504704,0.145553979,0.146819786,0.087069697,0.135948886,3.519552877,7.527403793,Ball_007_1
1.04204,0.51883,0.018118297,0.150794949,0.151842965,-0.03196106,0.2257337,3.416885325,8.380642069,Ball_007_1
0.8935,0.48148,0.017007413,0.153200989,0.154104948,-0.004280612,-0.240815716,3.124364314,9.061045567,Ball_007_1
0.76625,0.41807,0.019297433,0.1354027,0.13673818,0.106744813,-0.279552299,3.057448903,7.085822218,Ball_007_1
0.81152,0.46167,0.019049504,0.132380698,0.133712288,0.09834771,-0.269784672,3.452711851,7.019200357,Ball_007_1
0.87722,0.45582,0.020098371,0.142277145,0.143655304,0.004761528,-0.1961699,3.173011969,7.147609457,Ball_007_1
0.8209,0.4552,0.020339747,0.130172547,0.131720626,0.10462546,-0.068342368,3.455798938,6.476020829,Ball_007_1
0.79607,0.44977,0.01943598,0.141155754,0.142453414,0.123069775,-0.478701425,3.15731289,7.329366305,Ball_007_1
1.09961,0.57891,0.020207672,0.145766456,0.147125235,0.034341378,0.147892007,3.934811041,7.280662325,Ball_007_1
1.15948,0.59288,0.019697212,0.152701984,0.153930148,0.024027721,0.577021025,3.851617171,7.814818889,Ball_007_1
0.86763,0.43788,0.017485443,0.125535004,0.126716546,-0.004531324,-0.260245773,3.455586605,7.246973788,Ball_007_1
0.83216,0.4214,0.020745139,0.134246744,0.135807765,0.042363297,-0.114773388,3.102915349,6.546486073,Ball_007_1
1.19724,0.64775,0.021748886,0.15085303,0.152376307,0.075678303,1.007626361,4.250988966,7.00616611,Ball_007_1
1.17075,0.59184,0.022243465,0.155415428,0.156961566,-0.134614365,1.038010033,3.770604587,7.056525013,Ball_007_1
0.89705,0.49922,0.023296478,0.154472352,0.156181888,0.026636181,-0.249634583,3.19640137,6.704098592,Ball_007_1
0.80212,0.43642,0.022948445,0.150804267,0.152503946,-0.020612271,-0.437007945,2.861696446,6.64550234,Ball_007_1
0.80672,0.43121,0.022469608,0.129732809,0.131633077,0.026424037,-0.113638046,3.275848355,5.858271999,Ball_007_1
0.84969,0.44998,0.02305229,0.139243337,0.141105095,0.033478282,-0.270924211,3.188970605,6.121087905,Ball_007_1
0.87097,0.4963,0.022843529,0.130451672,0.132405273,0.10739175,0.094342496,3.748340149,5.7961829,Ball_007_1
0.78273,0.43601,0.022237744,0.133626643,0.135432191,0.026998579,-0.403101105,3.219397087,6.090194633,Ball_007_1
0.96652,0.56869,0.02360693,0.141123464,0.143050323,0.082763403,-0.231260473,3.975454155,6.059674891,Ball_007_1
1.12486,0.58517,0.021628391,0.148340618,0.149873218,0.127981378,0.697532098,3.90443341,6.929466843,Ball_007_1
0.99239,0.49004,0.022144625,0.136898353,0.138644843,0.075471179,0.466855511,3.534498573,6.260880074,Ball_007_1
0.73495,0.39887,0.022536696,0.122235266,0.124266115,0.100707633,-0.046461469,3.209805013,5.513945479,Ball_007_1
0.91541,0.47523,0.021101601,0.1454489,0.146936484,0.023010043,0.267966044,3.234254601,6.96328603,Ball_007_1
0.97778,0.52196,0.021507376,0.150507364,0.151999911,-0.061250888,0.174707475,3.433949368,7.067338878,Ball_007_1
0.92375,0.46751,0.022227097,0.147312796,0.148944646,0.00039767,-0.207069379,3.138817086,6.701039073,Ball_007_1
1.09815,0.59706,0.022931564,0.148541259,0.150265061,0.017425467,0.153780654,3.973378749,6.552761059,Ball_007_1
0.88599,0.47272,0.023012055,0.146098481,0.14786446,0.081902024,-0.195922614,3.196981883,6.425521859,Ball_007_1
1.09961,0.62084,0.022988278,0.15687451,0.158512007,0.060175399,0.223935748,3.916674896,6.895340592,Ball_007_1
0.79399,0.40784,0.021885189,0.131613535,0.133389002,0.030037706,-0.258042497,3.057523429,6.094943916,Ball_007_1
0.90915,0.4648,0.022629265,0.137946357,0.139756894,0.032367235,-0.083488737,3.325775117,6.175936104,Ball_007_1
0.9152,0.51403,0.022497789,0.153979541,0.155577223,0.063977434,0.024180859,3.304018345,6.915222858,Ball_007_1
0.94628,0.52008,0.022671034,0.153371874,0.15500136,0.003360029,-0.076710092,3.355325393,6.836978076,Ball_007_1
0.83175,0.3801,0.023994108,0.133778234,0.13588081,-0.019370382,-0.23206882,2.797304486,5.663090732,Ball_007_1
0.78106,0.42495,0.022131909,0.124357126,0.126281293,-0.122113327,0.041697742,3.365106497,5.705847425,Ball_007_1
1.23396,0.61792,0.023020128,0.159177927,0.160795419,0.004443684,0.410246414,3.842895552,6.984992529,Ball_007_1
1.1576,0.61416,0.023482594,0.16170866,0.163365708,-0.054477465,0.460687406,3.759418102,6.956885134,Ball_007_1
0.84489,0.45833,0.023841215,0.126003994,0.128209429,0.036080711,0.139483857,3.574854091,5.377638186,Ball_007_1
0.93355,0.51966,0.021686602,0.143699356,0.145291882,0.046961764,-0.106496444,3.576662327,6.699614836,Ball_007_1
0.862,0.43163,0.020148525,0.13441301,0.135882297,0.070346872,0.119913743,3.176499145,6.744031883,Ball_007_1
1.15051,0.64629,0.020737315,0.171796058,0.173001476,0.108437615,0.225954069,3.735748483,8.342520672,Ball_007_1
0.76833,0.38594,0.022522639,0.136086843,0.13790524,-0.005788431,-0.445883031,2.798588363,6.122961085,Ball_007_1
0.97047,0.47543,0.021709745,0.141753254,0.143371847,-0.050130665,0.038836694,3.316062472,6.604031856,Ball_007_1
1.00303,0.47043,0.020158397,0.153965945,0.155242708,-0.033861775,-0.043648742,3.030287265,7.701143594,Ball_007_1
1.0364,0.53948,0.020950202,0.160584068,0.16190603,0.04411075,-0.071475103,3.332056258,7.728136829,Ball_007_1
0.9419,0.49421,0.018781542,0.141421267,0.142628733,-0.069706323,0.367540212,3.465010087,7.594090591,Ball_007_1
0.8839,0.4673,0.019233441,0.139810555,0.141093488,0.029934671,-0.221229049,3.311988443,7.335842113,Ball_007_1
0.92479,0.49692,0.018134249,0.150289739,0.15134341,0.007713254,-0.056754303,3.28339371,8.345722361,Ball_007_1
1.1647,0.6392,0.019247377,0.161944721,0.163045234,0.00597743,0.056389859,3.920384445,8.471036726,Ball_007_1
0.82779,0.43872,0.018747063,0.131881381,0.133175292,-0.047987484,-0.133408507,3.294304767,7.10379507,Ball_007_1
